outcome_key,outcome,direction,model,sample_mode,lag,term,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,standardized_ci_low,standardized_ci_high,n_obs,n_countries
public_sector,Public sector,populism_to_corruption,lead_lag,common,2,populism_governing_lag2,-0.015132643778236154,0.023823858657237292,0.5253477776191213,-0.06184303159499023,0.031577744038517916,-0.020381662605369697,-0.08329435509974235,0.04253102988900296,3576,95
public_sector,Public sector,populism_to_corruption,granger,common,1,populism_governing_lag1,-0.00992036092631661,0.008768464533833004,0.25798110867200696,-0.02711244156501123,0.00727171971237801,-0.013543335980087398,-0.037014067137552314,0.00992739517737752,3501,95
public_sector,Public sector,populism_to_corruption,granger,common,2,populism_governing_lag2,0.010554985906392703,0.008854943152865719,0.23335031024050856,-0.006806650916990443,0.02791662272977585,0.014409729792809096,-0.009292480480566485,0.03811194006618468,3501,95
public_sector,Public sector,corruption_to_populism,lead_lag,common,1,corruption_public_sector_lag1,-0.13712593059923822,0.10485447402016093,0.1910389671620487,-0.3427105201050692,0.06845865890659272,-0.10033398947879137,-0.25075865351089294,0.050090674553310184,3527,95
public_sector,Public sector,corruption_to_populism,lead_lag,common,2,corruption_public_sector_lag2,-0.038627078261742526,0.08736087762802111,0.658405083882281,-0.2099125702148334,0.13265841369134834,-0.028263136278993867,-0.15359141425231027,0.09706514169432254,3527,95
public_sector,Public sector,corruption_to_populism,granger,common,1,corruption_public_sector_lag1,-0.019620461486060198,0.027835013721153858,0.4809308830690504,-0.074195634707649,0.03495471173552861,-0.014356140867804117,-0.05428837565293328,0.02557609391732504,3527,95
public_sector,Public sector,corruption_to_populism,granger,common,2,corruption_public_sector_lag2,-0.006357849152465664,0.026219903789874707,0.8084215832381201,-0.057766330769211456,0.04505063246428013,-0.004651989358858552,-0.04226718023570257,0.032963201517985465,3527,95
legislative,Legislative,populism_to_corruption,lead_lag,common,1,populism_governing_lag1,-0.2681069629089188,0.12333318689815079,0.029785113768904914,-0.5099208971491119,-0.0262930286687256,-0.08454717394466434,-0.1608028762905773,-0.00829147159875138,3576,95
legislative,Legislative,populism_to_corruption,lead_lag,common,2,populism_governing_lag2,0.11767745857802218,0.10244135549503967,0.25074743097455165,-0.08317478422999362,0.318529701386038,0.03710942995218683,-0.02622905751422864,0.1004479174186023,3576,95
legislative,Legislative,populism_to_corruption,granger,common,1,populism_governing_lag1,-0.03280666819819699,0.02767871351792093,0.23599585709831228,-0.08707553966814985,0.021462203271755874,-0.010465280607235145,-0.027776973606350713,0.006846412391880428,3501,95
legislative,Legislative,populism_to_corruption,granger,common,2,populism_governing_lag2,0.07325895086455395,0.025441767128289886,0.004008608894203514,0.02337599697077248,0.12314190475833542,0.02336950138177531,0.007456909866466037,0.039282092897084585,3501,95
legislative,Legislative,corruption_to_populism,lead_lag,common,1,corruption_legislative_lag1,-0.015565582133836634,0.023122719372370128,0.5008834723847064,-0.060901509044434865,0.0297703447767616,-0.048875207672104036,-0.19122792045282824,0.09347750510862017,3527,95
legislative,Legislative,corruption_to_populism,lead_lag,common,2,corruption_legislative_lag2,-0.013283168827917967,0.0181945853291837,0.4654030860413143,-0.04895667147130383,0.022390333815467893,-0.041708535500052574,-0.1537216831674751,0.07030461216736991,3527,95
legislative,Legislative,corruption_to_populism,granger,common,1,corruption_legislative_lag1,-0.011653591441254725,0.00682457154448735,0.08780372535318115,-0.025034298845773423,0.0017271159632639733,-0.03659173790738206,-0.07860654002479674,0.005423064210032625,3527,95
legislative,Legislative,corruption_to_populism,granger,common,2,corruption_legislative_lag2,0.005461215771145394,0.0068378708515589165,0.42453677584053406,-0.007945567136494261,0.01886799867878505,0.01714796482790525,-0.024948713162781206,0.0592446428185917,3527,95
judicial,Judicial,populism_to_corruption,lead_lag,common,1,populism_governing_lag1,-0.2894534456697732,0.12061122438535483,0.016453083447510952,-0.5259305481891007,-0.05297634315044575,-0.09694793629916802,-0.17615226920391766,-0.017743603394418366,3576,95
judicial,Judicial,populism_to_corruption,lead_lag,common,2,populism_governing_lag2,-0.14543739979219406,0.08446249725362497,0.08517473339949011,-0.3110392890348436,0.020164489450455514,-0.0487119983593364,-0.10417777929750686,0.006753782578834065,3576,95
judicial,Judicial,populism_to_corruption,granger,common,1,populism_governing_lag1,-0.02411353909192921,0.02575486675769193,0.34920101834431416,-0.0746103785817413,0.02638330039788287,-0.008136892725955892,-0.02517658832443144,0.008902802872519653,3501,95
judicial,Judicial,populism_to_corruption,granger,common,2,populism_governing_lag2,0.02623444054216133,0.027259397190458955,0.33591817325113404,-0.027212289253267786,0.07968117033759045,0.008852571478754113,-0.009182537562710265,0.026887680520218494,3501,95
judicial,Judicial,corruption_to_populism,lead_lag,common,1,corruption_judicial_lag1,-0.05687135396077472,0.023691885239774176,0.016428340323924262,-0.10332322496726812,-0.010419482954281321,-0.16829559675190295,-0.30575751398834167,-0.03083367951546424,3527,95
judicial,Judicial,corruption_to_populism,lead_lag,common,2,corruption_judicial_lag2,0.0011479618112836586,0.019405253827296385,0.9528303408885908,-0.036899257247524596,0.03919518087009192,0.003397086663553507,-0.10919350579304438,0.1159876791201514,3527,95
judicial,Judicial,corruption_to_populism,granger,common,1,corruption_judicial_lag1,-0.012430873325420972,0.008360444055059943,0.13714308546494514,-0.028822914194707262,0.003961167543865317,-0.036785852608537686,-0.08529372358310341,0.011722018366028047,3527,95
judicial,Judicial,corruption_to_populism,granger,common,2,corruption_judicial_lag2,0.006168640072334089,0.006903786049292712,0.3716447901909663,-0.007367380541824938,0.019704660686493115,0.01825444428204053,-0.021801796835010604,0.058310685399091663,3527,95
